214,276,302,276,302,325,214,325,0.8974407
39,272,195,272,195,323,39,323,0.8983775
464,267,582,267,582,325,464,325,0.86059266
313,270,372,270,372,327,313,327,0.87444717
381,266,451,266,451,327,381,327,0.89623964
563,201,622,201,622,248,563,248,0.85899234
639,198,762,198,762,245,639,245,0.9004958
402,195,545,195,545,246,402,246,0.8785528
267,194,385,194,385,246,267,246,0.9020084
857,190,968,190,968,256,857,256,0.90080655
39,191,160,191,160,248,39,248,0.8961793
1067,192,1137,192,1137,246,1067,246,0.94557196
981,191,1054,191,1054,249,981,249,0.8707054
169,192,252,189,255,247,172,251,0.876031
774,193,840,189,844,245,778,250,0.8404417
1089,126,1187,126,1187,167,1089,167,0.9129173
705,117,863,111,865,172,707,177,0.8715999
882,113,984,113,984,175,882,175,0.9332914
579,112,690,112,690,177,579,177,0.90680426
343,112,448,112,448,178,343,178,0.9065107
1201,112,1276,112,1276,170,1201,170,0.90661675
461,110,562,110,562,170,461,170,0.9225539
253,110,333,110,333,177,253,177,0.8747925
41,109,173,109,173,167,41,167,0.89843965
999,108,1078,108,1078,173,999,173,0.89364856
185,110,243,110,243,170,185,170,0.8869358
800,34,940,34,940,98,800,98,0.90505606
233,34,403,34,403,96,233,96,0.920622
640,33,779,29,780,93,642,97,0.9007626
540,34,630,34,630,99,540,99,0.90886617
38,35,136,35,136,89,38,89,0.9027164
958,31,1165,31,1165,85,958,85,0.85998356
422,31,526,31,526,92,422,92,0.88167053
148,36,214,32,218,87,151,91,0.8707121
