515,1229,596,1229,596,1281,515,1281,0.85797966
237,1228,381,1228,381,1281,237,1281,0.87929726
392,1228,507,1228,507,1279,392,1279,0.86461246
1005,1225,1149,1222,1149,1277,1005,1280,0.8735967
1223,1217,1323,1217,1323,1283,1223,1283,0.8419688
1159,1217,1219,1217,1219,1284,1159,1284,0.8528715
1159,736,1277,736,1277,785,1159,785,0.8731358
238,734,381,734,381,788,238,788,0.8792278
1003,733,1146,733,1146,786,1003,786,0.8671136
388,728,448,725,449,791,389,795,0.8412284
451,726,517,719,519,789,454,797,0.78542787
1285,717,1371,717,1371,789,1285,789,0.87606496
350,125,650,128,650,198,349,195,0.799692
119,130,340,127,341,195,120,198,0.83530474
674,111,1380,117,1380,206,674,199,0.6811029
