163,449,197,449,197,464,163,464,0.8551412
147,447,164,450,160,472,143,469,0.7557283
214,440,251,440,251,458,214,458,0.9227471
201,436,215,439,211,462,196,459,0.7372155
11,420,89,418,91,465,12,468,0.9273736
96,418,151,418,151,461,96,461,0.9152915
154,420,172,424,167,448,150,444,0.7434565
174,419,188,422,183,444,170,441,0.64679646
307,402,323,402,323,431,307,431,0.7401834
326,396,344,396,344,427,326,427,0.7019877
5,394,30,394,30,403,5,403,0.79827535
1,380,26,380,26,395,1,395,0.82636666
151,366,194,375,184,426,141,417,0.8366838
125,370,145,374,138,418,118,415,0.6668394
5,372,32,372,32,383,5,383,0.66609627
1,360,26,360,26,374,1,374,0.84229225
1,339,26,339,26,353,1,353,0.870953
1,317,27,317,27,334,1,334,0.8315498
240,130,344,130,344,196,240,196,0.92893755
158,131,226,131,226,183,158,183,0.9494888
384,124,431,124,431,140,384,140,0.9086759
0,90,95,87,96,129,1,132,0.92028815
112,86,211,86,211,131,112,131,0.90235764
384,91,431,91,431,108,384,108,0.926839
370,62,417,62,417,76,370,76,0.8882887
239,45,344,46,343,112,238,110,0.9537345
419,53,468,49,471,80,421,84,0.9027247
156,44,227,44,227,99,156,99,0.9263262
371,30,417,30,417,44,371,44,0.92068946
422,19,461,19,461,45,422,45,0.9274859
5,17,64,17,64,49,5,49,0.9533024
183,14,246,16,246,45,183,43,0.9163325
72,13,171,8,173,48,74,53,0.91557926
