226,371,253,419,227,433,201,386,0.54050595
197,360,221,363,217,403,194,401,0.60730577
197,303,241,309,232,378,188,372,0.76576895
230,294,271,336,255,352,214,310,0.6888612
201,280,228,303,215,319,188,296,0.59693587
202,237,238,240,232,306,197,303,0.8125142
2,200,51,187,55,203,6,216,0.83479184
6,186,65,157,72,173,14,201,0.7761027
92,144,121,146,121,157,92,155,0.82069755
60,140,90,140,90,154,60,154,0.80632925
4,128,39,128,39,141,4,141,0.89615566
43,126,72,128,71,143,42,142,0.81197566
70,122,98,122,98,134,70,134,0.7611723
451,117,481,104,489,121,459,135,0.83399755
7,101,79,106,78,130,5,126,0.8568334
74,90,115,91,115,112,73,110,0.89023817
441,100,470,87,476,102,447,115,0.86986387
6,72,80,76,79,101,5,96,0.8516232
429,82,457,69,464,84,436,97,0.8683699
74,59,114,62,113,83,73,81,0.84965754
417,65,446,52,453,67,424,80,0.8472952
