129,258,148,258,148,272,129,272,0.65503323
116,252,130,253,128,272,114,271,0.64661354
53,245,104,245,104,263,53,263,0.84076357
101,225,134,228,132,254,99,252,0.6391518
53,208,103,209,103,230,53,229,0.8495105
105,205,135,204,136,221,105,223,0.8470543
105,176,135,178,134,198,104,196,0.7597365
53,173,103,175,103,196,53,194,0.827484
481,117,577,140,559,216,464,193,0.8915601
95,94,176,94,176,154,95,154,0.91017616
492,95,549,107,543,139,486,127,0.8915673
6,74,86,81,80,157,0,151,0.9448683
486,47,544,45,545,82,487,84,0.93431365
3,47,42,47,42,71,3,71,0.9082855
48,47,77,47,77,72,48,72,0.9251941
83,35,144,43,139,83,79,75,0.8873874
157,20,186,20,186,43,157,43,0.9231165
121,17,154,17,154,43,121,43,0.9461555
