22,222,76,223,76,253,21,251,0.93251073
91,222,141,222,141,246,91,246,0.9600529
19,180,77,182,75,213,18,210,0.91624576
89,175,166,175,166,204,89,204,0.93255675
171,150,394,153,393,197,170,193,0.82459277
18,139,75,141,74,171,17,169,0.92835754
88,137,140,140,138,171,86,168,0.9209415
444,134,515,134,515,180,444,180,0.9503464
17,97,73,99,72,131,15,128,0.9217408
475,100,513,101,513,118,475,117,0.9202596
90,93,168,104,163,133,86,122,0.89598054
455,96,470,95,471,114,456,115,0.84961337
521,71,558,71,558,89,521,89,0.91745925
478,70,516,70,516,88,478,88,0.8990081
437,65,475,65,475,86,437,86,0.7513063
189,44,338,45,338,95,189,94,0.94018435
93,42,170,44,169,98,91,95,0.95011985
481,36,498,35,499,55,482,56,0.84459263
462,37,477,35,479,55,464,56,0.79016507
