126,217,163,218,162,232,125,230,0.8410636
72,217,121,219,120,229,72,227,0.84221977
7,217,68,218,67,228,7,227,0.7967751
31,206,76,205,76,215,31,216,0.75091463
79,195,139,195,139,205,79,205,0.825987
12,196,72,193,73,203,12,205,0.7697316
78,185,121,183,122,193,78,195,0.7073409
12,183,72,181,72,192,13,195,0.7701512
23,163,87,163,87,178,23,178,0.89439553
22,140,87,138,87,154,22,156,0.911882
22,117,87,115,87,132,23,134,0.85849893
83,59,196,50,197,68,85,77,0.74602413
82,36,121,32,123,51,84,54,0.6997735
121,33,193,23,196,44,123,54,0.6906967
82,9,194,0,197,24,84,33,0.6605516
