343,376,371,378,370,393,342,391,0.8361079
341,353,364,357,362,371,339,367,0.81926763
562,123,589,123,589,134,562,134,0.88416445
520,123,558,123,558,134,520,134,0.83552456
436,107,515,165,505,180,426,121,0.6374137
518,105,552,105,552,116,518,116,0.8528538
555,105,578,105,578,116,555,116,0.9214983
525,87,544,87,544,98,525,98,0.90849817
472,68,490,68,490,84,472,84,0.8911648
493,66,524,66,524,83,493,83,0.90287524
470,48,488,48,488,62,470,62,0.8811443
491,45,521,45,521,62,491,62,0.8876497
490,28,532,28,532,40,490,40,0.86875254
468,26,486,26,486,41,468,41,0.8985959
467,5,505,9,504,24,466,20,0.8696962
