10,311,29,312,28,321,10,320,0.8255595
30,309,49,310,48,323,29,322,0.84021676
90,299,115,299,115,318,90,318,0.88950706
119,297,159,294,161,317,121,321,0.86319673
30,285,73,290,72,303,29,298,0.8303124
18,266,78,274,75,291,16,284,0.83847743
366,267,416,262,418,276,368,281,0.8278985
17,193,56,193,56,209,17,209,0.8895269
433,164,456,172,450,191,427,183,0.87033653
47,163,70,163,70,178,47,178,0.91448146
400,152,430,163,423,186,392,175,0.8934343
3,155,39,155,39,170,3,170,0.9085588
37,135,76,137,75,153,37,152,0.8050086
4,133,38,133,38,148,4,148,0.9182048
124,133,176,124,179,142,127,151,0.8287834
110,122,156,110,160,129,114,141,0.86864835
104,97,150,83,155,101,109,115,0.8642306
100,69,145,59,149,77,104,87,0.88819313
67,36,107,36,107,53,67,53,0.8539309
26,32,61,32,61,52,26,52,0.9035619
83,24,133,20,135,40,85,45,0.87871796
36,9,71,9,71,29,36,29,0.9236944
