30,348,80,388,71,399,21,359,0.7513848
28,327,66,353,57,366,19,340,0.8174354
44,302,81,327,71,342,34,317,0.86267436
85,291,107,307,98,319,76,303,0.8520749
97,271,119,287,111,299,89,283,0.8202543
63,184,80,184,80,199,63,199,0.7503941
52,184,63,184,63,196,52,196,0.76516634
34,180,53,182,52,195,33,194,0.82307935
23,182,34,182,34,194,23,194,0.7645011
38,167,66,169,65,185,37,183,0.82193047
63,159,104,171,98,194,57,182,0.8657372
2,159,40,161,39,182,1,181,0.89020985
39,73,79,79,77,94,37,88,0.7634677
13,63,38,68,35,83,11,78,0.8304577
69,62,93,67,90,83,66,79,0.8168433
35,52,67,60,63,79,31,71,0.87301576
70,35,114,41,112,62,67,56,0.89977324
10,31,68,41,65,58,7,48,0.8641926
221,14,269,14,269,34,221,34,0.90904063
187,12,217,14,216,34,186,32,0.8743975
13,3,78,15,75,32,10,20,0.8742072
