315,297,388,295,389,320,316,323,0.90247196
48,295,72,300,69,316,45,311,0.8476865
244,291,309,290,310,321,245,323,0.89864177
198,289,241,290,240,317,197,316,0.91423494
5,283,46,294,41,315,0,304,0.83423114
5,275,42,281,39,295,3,289,0.7236484
47,260,88,269,84,288,43,279,0.86512285
254,262,321,259,322,274,255,277,0.7286485
81,257,104,261,101,275,78,271,0.8395724
5,251,47,269,40,286,0,269,0.8905807
50,247,79,254,76,268,46,261,0.83059067
257,246,282,244,283,257,257,258,0.8575592
287,246,318,243,319,258,288,260,0.85589194
77,232,111,237,109,251,74,246,0.8184303
17,228,53,237,50,252,14,244,0.84062
45,224,75,231,72,247,41,241,0.8103563
260,228,319,225,319,236,260,239,0.79124916
51,211,89,221,85,235,48,224,0.81713355
261,210,312,206,313,218,262,222,0.8113205
7,199,49,208,46,224,4,215,0.85515
525,192,582,192,582,208,525,208,0.91964966
53,182,89,193,84,208,48,198,0.7896868
9,172,50,182,46,197,5,187,0.88608396
58,155,91,163,87,178,54,170,0.8789904
8,145,53,154,50,169,5,160,0.8741994
221,157,253,141,260,154,227,171,0.8252089
254,132,270,126,279,149,263,155,0.7839516
53,124,84,132,80,149,49,142,0.8868952
323,130,343,119,349,130,329,141,0.7943112
9,114,51,124,47,141,5,131,0.8712626
342,117,371,101,381,118,352,135,0.8530799
214,115,260,95,269,117,223,137,0.8218261
318,103,339,92,344,103,324,113,0.81161994
19,88,62,97,58,114,15,105,0.8844405
262,92,306,70,317,92,273,114,0.9019693
336,87,369,68,381,89,348,108,0.8786032
207,82,255,59,267,82,219,106,0.84446174
307,75,334,61,341,76,314,89,0.88364786
19,58,62,67,59,85,16,75,0.87366426
338,56,385,39,391,57,345,74,0.89628124
256,56,300,36,310,58,265,78,0.9056934
62,31,95,40,89,63,56,54,0.8756657
470,30,500,27,502,41,471,45,0.8619924
9,25,57,35,53,53,6,42,0.8868291
500,28,541,22,544,40,503,46,0.8630658
