464,474,501,474,501,495,464,495,0.88288206
504,472,535,472,535,497,504,497,0.7761694
218,448,254,451,252,475,216,472,0.85204554
159,444,215,449,213,470,157,465,0.87178
343,407,406,414,402,448,340,441,0.88906497
209,399,258,404,255,442,205,437,0.8927534
261,400,308,400,308,454,261,454,0.93606645
72,402,128,398,129,414,73,418,0.83473647
0,392,70,388,71,407,1,410,0.7858153
288,372,316,372,316,402,288,402,0.8824355
215,366,282,369,281,406,213,403,0.90163773
72,370,128,369,129,385,72,386,0.8509872
1,366,71,363,71,379,2,382,0.81818795
72,340,128,338,129,354,73,356,0.86730254
0,339,71,337,71,353,1,355,0.8401061
1,312,71,312,71,328,1,328,0.8259493
72,308,123,308,123,330,72,330,0.91444534
1,283,71,285,71,301,1,299,0.81295556
178,211,274,235,263,281,168,257,0.8969426
103,199,167,209,160,256,96,246,0.905594
289,182,377,198,371,232,283,217,0.54776657
235,177,282,184,278,214,231,206,0.8802085
145,155,231,178,223,211,136,188,0.8484419
334,147,420,176,411,206,324,176,0.8390828
261,142,308,151,302,179,256,170,0.84966445
171,122,256,143,248,175,163,154,0.8713579
251,117,285,125,281,144,247,137,0.80862844
191,106,248,122,244,140,187,123,0.848042
43,128,101,85,133,130,75,173,0.83921236
260,95,307,106,303,123,256,111,0.8054391
192,82,254,98,250,114,188,98,0.81324494
101,88,145,56,170,94,126,125,0.787256
0,90,53,48,85,91,31,133,0.8557781
73,30,110,59,90,86,53,56,0.7340971
99,57,137,30,147,46,109,72,0.7490214
35,49,70,21,81,35,46,63,0.7675013
2,41,34,17,44,33,13,56,0.7503058
74,37,107,9,121,27,89,55,0.7419402
135,30,175,11,184,31,144,50,0.7964806
68,18,95,0,108,13,81,35,0.70463717
110,11,148,0,159,13,121,33,0.62784904
