518,379,561,371,564,387,521,396,0.8869623
26,357,43,370,33,382,16,369,0.7277108
7,342,28,360,19,371,0,353,0.7856271
518,349,562,340,566,358,521,367,0.8620385
518,322,564,313,569,338,523,347,0.9145633
519,286,565,279,569,305,523,313,0.90522027
5,202,39,194,44,213,9,221,0.8625555
41,195,79,187,83,210,45,218,0.88589895
3,177,26,174,29,193,6,196,0.86657256
27,177,61,168,66,187,32,196,0.86186963
492,140,537,135,538,149,494,155,0.85330284
492,118,537,112,539,129,494,134,0.8407531
187,119,223,95,240,120,204,144,0.87780064
492,100,541,94,543,114,494,119,0.8202979
534,84,564,82,566,102,535,104,0.8035373
492,74,542,71,544,93,493,96,0.7679615
210,80,243,53,277,95,243,122,0.8603365
533,65,563,60,566,78,536,83,0.8280905
153,77,186,52,205,77,172,102,0.86361665
206,25,241,64,216,88,180,49,0.8281121
227,32,255,6,276,30,248,55,0.8630548
283,5,306,28,292,41,270,18,0.8438281
302,0,325,14,312,28,290,8,0.73156583
