455,349,484,350,483,364,455,363,0.88999075
487,345,522,343,523,363,488,364,0.8960646
459,325,489,325,489,341,459,341,0.8859185
492,321,523,321,523,341,492,341,0.8951507
385,277,415,251,425,264,395,289,0.61431676
399,257,425,245,429,253,403,265,0.54954493
477,220,560,220,560,269,477,269,0.9348784
465,197,552,188,555,218,468,227,0.8748472
471,154,561,145,564,177,474,186,0.87798214
57,81,110,86,108,105,55,100,0.85813236
6,79,51,86,49,106,3,100,0.8585446
138,58,219,53,221,88,140,92,0.8896333
41,48,136,48,136,83,41,83,0.9352733
426,47,508,50,507,80,425,77,0.93216187
229,33,267,34,266,54,229,53,0.90452427
274,28,330,34,327,60,271,54,0.91352594
146,13,229,13,229,41,146,41,0.9311612
312,9,353,9,353,35,312,35,0.92902577
42,6,136,6,136,39,42,39,0.93487364
359,7,431,5,432,34,360,36,0.91009086
279,8,304,8,304,28,279,28,0.9207544
237,7,274,8,273,28,236,27,0.9038681
